frame.time_epoch,ip.src,ip.dst,frame.len,tcp.srcport,tcp.dstport
1751013977.745766000,,,372,,
1751013977.745769000,,,982,,
1751013977.745774000,,,135,,
1751013977.745777000,,,86,,
1751013977.746199000,,,140,,
1751013977.746234000,,,93,,
1751013977.746409000,,,1288,,
1751013977.746415000,,,1071,,
1751013977.753136000,,,182,,
1751013977.754283000,,,87,,
1751013977.755667000,,,91,,
1751013977.755767000,,,94,,
1751013977.835067000,,,899,,
1751013977.836842000,,,302,,
1751013977.837044000,,,97,,
1751013977.868779000,,,86,,
1751013978.593692000,,,276,,
1751013978.593798000,,,272,,
1751013978.593873000,,,272,,
1751013978.604811000,,,92,,
1751013978.606022000,,,654,,
1751013978.606026000,,,84,,
1751013978.606373000,,,97,,
1751013978.606855000,,,570,,
1751013978.606860000,,,84,,
1751013978.606862000,,,591,,
1751013978.606942000,,,84,,
1751013978.607041000,,,97,,
1751013978.607122000,,,97,,
1751013978.608851000,,,1292,,
1751013978.608886000,,,1292,,
1751013978.610964000,,,142,,
1751013978.616389000,,,85,,
1751013978.617032000,,,102,,
1751013978.617455000,,,1292,,
1751013978.625726000,,,1292,,
1751013978.633042000,,,1292,,
1751013978.633428000,,,94,,
1751013978.638617000,,,86,,
1751013978.648986000,,,1292,,
1751013978.656914000,,,1292,,
1751013978.670042000,,,1292,,
1751013978.679642000,,,1292,,
1751013978.679645000,,,475,,
1751013978.679647000,,,692,,
1751013978.679650000,,,87,,
1751013978.679652000,,,1292,,
1751013978.679654000,,,1292,,
1751013978.680542000,,,140,,
1751013978.680617000,,,93,,
1751013978.680700000,,,175,,
1751013978.681020000,,,1288,,
1751013978.681036000,,,1245,,
1751013978.687383000,,,182,,
1751013978.687636000,,,96,,
1751013978.688878000,,,89,,
1751013978.689594000,,,93,,
1751013978.716844000,,,94,,
1751013978.805947000,,,1246,,
1751013978.810639000,,,244,,
1751013978.810983000,,,97,,
1751013978.844417000,,,86,,
1751013982.449953000,,,86,,
1751013982.456295000,,,86,,
1751013982.456299000,,,78,,
1751013982.456491000,,,78,,
1751013985.795371000,172.16.10.60,162.159.200.123,90,,
1751013986.883748000,172.16.10.78,224.0.0.251,100,,
1751013986.987319000,,,120,,
1751013987.113825000,,,42,,
1751013987.113833000,172.16.10.60,172.16.10.78,413,,
1751013987.119880000,,,266,50877,61309
1751013987.120071000,,,86,61309,50877
1751013987.127250000,,,1514,61309,50877
1751013987.127278000,,,827,61309,50877
1751013987.140298000,,,42,,
1751013987.141146000,,,86,50877,61309
1751013987.498567000,172.16.10.72,172.16.10.255,86,,
1751013987.498571000,172.16.10.78,224.0.0.251,136,,
1751013987.498715000,,,156,,
1751013987.500689000,,,86,,
1751013987.500872000,,,78,,
1751013988.726080000,,,74,61552,443
1751013988.746765000,,,86,443,61552
1751013989.527192000,172.16.10.60,162.159.200.123,90,,
1751013989.545882000,,,42,,
1751013990.468073000,172.16.10.78,224.0.0.251,136,,
1751013990.570427000,,,156,,
